,Molecule,Score,admet_smiles
183,EOS59532,-8.061,C[C@@H](NC(=O)NCC1CCN(C2CCCC2)CC1)[C@@H](O)c1ccc(O)cc1
184,EOS59177,-7.929,CCN(C)CC(=O)N1CCC2(CC1)CC(c1ccccc1)C(=O)N(CC)C2
185,EOS59534,-11.926,Cn1cc(O)n(CC(=O)N2CCCN(CC3=CC[C@H]4C[C@@H]3C4(C)C)CC2)c1=O
186,EOS59536,-9.318,Cc1ccc2c(c1)C(NC(=O)N1CCC3(CC1)CNC(=O)O3)CC(C)(C)O2
187,EOS59181,-7.817,CC(CNC(=O)N(C)Cc1cccc2cnccc12)N1CCN(C)CC1
188,EOS58740,-7.335,COC[C@H]1[C@@H](NC(=O)Cn2nc(C)c(C(C)=O)c2C)[C@@H]2CCO[C@@H]21
189,EOS59182,-7.691,Cc1nc(CSc2nnc(C3CCCNC3)n2C)co1
190,EOS59541,-7.81,Cc1cc(C(C)(C)C)cc(S(=O)(=O)NCCN2CCCC(CO)C2)c1C
191,EOS58742,-6.98,CCN1CC(CN(C)C(=O)c2ccc(O)cn2)CC1=O
192,EOS58743,-7.188,CN(Cc1n[nH]c(=O)[nH]1)C(=O)CC1CCN(Cc2ccccc2)CC1
193,EOS59191,-7.727,CC(=O)c1cc(CNC2C3CN4CCN(C3)CC2(c2ccccc2)C4)n(C)c1
194,EOS59547,-6.388,COC1CN(C(C)C)CC1NC(=O)c1cc[nH]c1C
195,EOS59198,-7.701,CNC(=O)c1ccc(NC(=O)CN(C)C2CCS(=O)(=O)C2)c(C)c1
196,EOS58746,-7.759,CN1CC2(CCN(C(=O)NC(C)(C)C)CC2)CC(c2ccccc2)C1=O
197,EOS59206,-6.987,Cc1cccc(CC2(NC(=O)N(C)CCN(C)C)CC2)c1
198,EOS59560,-6.954,CN(CC(=O)N1CCCC(C(=O)c2cccs2)C1)C(N)=O
199,EOS59218,-7.297,CO[C@@]12CC[C@H](OCCO)C[C@@H]1N(Cc1ccc(F)cc1)CC2
200,EOS59219,-7.606,CC1CCCCN1C(=O)c1ccccc1NC(=O)CN1CCCCC1
201,EOS59220,-10.966,CN(Cc1cnccn1)C(=O)NCC(c1ccccc1)N1CCCCCC1
202,EOS59225,-7.033,Cc1cc(C)nc(CN(C)C(=O)C(N)Cc2c[nH]cn2)c1
203,EOS59227,-7.403,Cc1cc(=O)cc(C(=O)NC(C)C2=CCCCC2)o1
204,EOS59233,-7.671,CN(CCCc1nccn1C)C(=O)Cn1nccc1C1CCCNC1
205,EOS59585,-7.068,COCCN(Cc1ccc(C)cc1)C(=O)NC1CCCN(C)C1
206,EOS59236,-7.895,O=C(NCC[C@@H]1C[C@@H]2C=C[C@H]1C2)N1CCC(OCc2cccnc2)CC1
207,EOS59594,-7.076,CCCN(Cc1cccc(OC)c1)C(=O)NCC(C)N1CCN(C)CC1
208,EOS59243,-7.805,CN1CC(CNC(=O)N(CCc2ccccc2)Cc2ccccc2)OCC1=O
209,EOS59244,-6.815,Cc1[nH]nnc1C(=O)N(C)CCN(C)C1CCCC1
210,EOS58761,-7.688,CCCCS(=O)(=O)NCc1cc2n(n1)CCN(C(=O)C1CCC1)C2
211,EOS59247,-16.841,O=C1CCC(C(=O)N2CCOc3ccccc3C2)NC(=O)N1
212,EOS59599,-7.161,COCc1ccc(C(=O)N[C@@H]2CCN(Cc3csc(C)n3)C[C@H]2O)o1
213,EOS59600,-6.392,COCCN(Cc1ccccn1)C(=O)CC1CCCOC1
214,EOS59601,-6.419,COc1ccc(O)cc1CNCCN1CCCC(CO)C1
215,EOS59250,-7.518,O=C(CCC(=O)c1ccccc1)N[C@@H]1CCN(Cc2cscn2)C[C@H]1O
216,EOS59604,-10.419,CN(C)CC1COCCN(C(=O)c2cccc(OCC(N)=O)c2)C1
217,EOS59607,-10.963,CN(C)CC1COCCN(C(=O)NCc2nc(-c3ccccc3)cs2)C1
218,EOS59610,-7.883,CCNC(=O)c1cccc(NC(=O)CN(C)C2CCS(=O)(=O)C2)c1C
219,EOS59612,-6.761,CCn1cc(C(O)NCC2(c3ccc(Cl)cc3)CC2)cc1O
220,EOS59615,-11.213,CC1(NC(=O)CCN2CCCCCC2=O)CCS(=O)(=O)C1
221,EOS59616,-7.277,CO[C@@]12CC[C@@H](O)C[C@@H]1N(Cc1ccc(F)c(F)c1)CC2
222,EOS59266,-7.215,Cc1ccc(C(CNC(=O)CCc2cnn(C)c2)N2CCOCC2)o1
223,EOS58768,-7.561,CCC(C)(CCNC(=O)N1CCOCC1)c1ccccc1OC
224,EOS59620,-7.957,Cc1nc(C(C)C)ncc1C(=O)NCC(c1cccnc1)N1CCOCC1
225,EOS59268,-6.796,COc1ccc(CN(C)C(C)Cc2cnccn2)cc1OC
