Molecule,Score
CC1CNC(=O)CCN1C(=O)c1ccccc1Oc1ccccc1os,-11.329
Cn1c(=O)n(C[C@@H]2CCNC(=O)CC2)c2ccccc21os,-11.328
CC(C(=O)N1CCC(N2CCS(=O)(=O)CC2)CC1)N1CCCCCC1os,-11.326
CC1(C(=O)NCc2cccc(F)c2)CCCCC(=O)N1os,-11.323
COCCCNC(=O)c1cc2n(n1)CCCN(Cc1ccc(F)cc1)C2=Oos,-11.32
O=C1CCCCC(C(=O)N2CCC=C(c3ccncc3)C2)N1os,-11.315
Cc1ccc(C(N)=O)c(OC(C)C(=O)N2CCCCCC2)c1os,-11.308
CN(C)[C@H]1Cc2cc(C(=O)N3CCCN(c4ncccn4)CC3)nn2C1os,-11.306
CN(C)c1cccc(CCC(=O)NC2CCCCNC2=O)c1os,-11.299
CCN1CCCn2nc(C3CCCN(Cc4ccncc4)C3)cc2C1=Oos,-11.297
O=C(Cc1ccc(Cl)cc1)NC1CCCCNC1=Oos,-11.297
O=C(NCc1ccsc1)C1CCc2nn(Cc3ccncc3)c(=O)n2CC1os,-11.295
COCCCNC(=O)c1cc2n(n1)CCCN(Cc1cccc(F)c1)C2=Oos,-11.293
Cc1ccccc1OCC(=O)NC1CCCCNC1=Oos,-11.292
C[C@H]1COc2ccc(CN3CCOCC3)cc2CN1C(=O)NC1CCCC1os,-11.29
Cc1ccc(C)c(C(=O)NC2CCCCNC2=O)c1os,-11.289
O=C(NCc1nncn1-c1ccccc1)N1CCCCCC1os,-11.287
Cc1ccc(OCC(=O)NC2CCCCNC2=O)c(C)c1os,-11.286
COCCN1CCCn2nc(C3CCCN(Cc4cccc(OC)n4)C3)cc2C1=Oos,-11.285
CC(C)(C)c1ccccc1OCC(=O)NC1CCCCNC1=Oos,-11.284
COc1cc(CNC(=O)C2CCCCc3nnc(-c4cnccn4)n32)cc(OC)c1os,-11.281
CC(C)N1CCC(NC(=O)CN2CCOc3ccccc3C2)CC1os,-11.277
