,Molecule,Score,admet_smiles
204,EOS2569,-8.009,O=C(c1ccccc1C(F)(F)F)N1C[C@H]2C[C@H](O)[C@@H](O)C[C@H]2C1
205,EOS2706,-6.89,Cc1cc(C)n(CCN(C)C(=O)c2ccc(CCC(C)(C)O)cc2)n1
206,EOS2169,-7.063,COCCCNC(=O)CCn1c(O)c2c(c1O)CC=CC2
207,EOS2710,-6.382,CO[C@H]1CN(CCCCc2ccccc2)C[C@@H]1O
208,EOS2711,-6.878,CC(CCNC(=O)N(C)Cc1ccc(-n2cccn2)cc1)N1CCN(C)CC1
209,EOS2575,-8.214,O=C(NCCc1cn[nH]c1)C1(c2ccccc2)CC12CCCC2
210,EOS2714,-6.389,CCOCCC(=O)NC(C)CN1CCc2ccccc2C1
211,EOS2579,-8.577,O=C1CCC2(CCN(C(=O)NC(Cc3ccccc3)c3ccccc3)CC2)N1
212,EOS2717,-7.606,COc1ccc(Cl)cc1NC(=O)N[C@H]1CN(C(C)C)C[C@@H]1OC
213,EOS2583,-7.708,CCCCN(Cc1ccc(C)s1)C(=O)C1CCc2nn(C)c(=O)n2C1
214,EOS2585,-7.924,CS(=O)(=O)CCC(=O)N1CCC(C(N)=O)(N2CCCCC2)CC1
215,EOS2586,-6.896,CN(C)CCN1C(=O)CCC1CCNC(=O)c1cn(C)cn1
216,EOS2589,-7.469,Cc1cc(C)n(CC(=O)N(C)CC(C)(C)CO)c(=O)n1
217,EOS2594,-6.047,Cn1ncnc1CCNC(=O)CCC(C)(C)C
218,EOS2733,-7.383,CCOCC(=O)N1CCC(C(=O)NCCc2cc[nH]n2)CC1
219,EOS2601,-7.206,Oc1cc(C(O)NCc2cc(COc3ccccc3)cs2)c[nH]1
220,EOS2739,-6.367,CCCC(N)C(=O)NCCc1nncn1C(C)C
221,EOS2178,-6.717,CCCC(=O)Nc1cccc(C(=O)NC(C)CC)c1
222,EOS2741,-7.463,Cc1nc2c([nH]1)CCN(C(=O)C1C[C@@H]3C=C[C@H]1C3)C2
223,EOS2742,-7.383,CC(C(=O)NCCc1n[nH]c(=O)n1C)N(C)C1CCCCC1
224,EOS2743,-6.873,CN(C)C(=O)NCC(=O)NCC1CCN(C(C)(C)C)C1
225,EOS2748,-6.373,CCCc1cnc(C)nc1N(C)CCC(C)(C)O
226,EOS2751,-8.055,Cn1cnnc1CCC(=O)NCC1COc2ccccc2O1
227,EOS2616,-7.29,CC1(C)NC(=O)N(CC(=O)NCCc2nc3c(s2)CCC3)C1=O
228,EOS2752,-7.26,COc1ccc(C(C)(O)CNC(=O)c2cc(CC(C)C)nn2C)cc1
229,EOS2754,-7.469,COCCN1CCC(CN(C)C(=O)CC2CC(C)(C)NC(C)(C)C2)C1
230,EOS2758,-6.331,CCC1(CC)CC1CNC(=O)N(C)Cc1ncc[nH]1
231,EOS2626,-6.785,CSCC1CCCN(C(=O)NCc2cnn(C)c2C)C1
232,EOS2627,-7.219,COc1cccc(SCC(=O)NCc2cc3n(n2)CCNC3)c1
233,EOS2768,-7.593,NC1Nc2ccccc2C(C(=O)NCCOCc2ccccc2)N1
234,EOS2635,-7.383,CN(C)[C@@H]1[C@H]2CC[C@@H]1CN(C(=O)c1c[nH]c(=O)[nH]1)C2
235,EOS2636,-7.468,Cc1c(NC(=O)C2C[C@H](N)CN2C)cccc1C(=O)NC(C)(C)C
236,EOS2774,-6.988,CSCCC(NC(C)=O)C(=O)NCc1ccc2c(c1)CC(C)(C)O2
237,EOS2775,-8.169,O=C(CCc1[nH]nc2c1CCCC2)NCC(c1cccnc1)N1CCCCC1
238,EOS2637,-13.196,Cc1n[nH]c(C2CCN(C(=O)C3CCCCn4nnnc43)CC2)n1
239,EOS2778,-8.234,Cn1ccnc1SCCNC(=O)N1CCC2(CC1)OCCCC2O
240,EOS2779,-7.43,COCC(C)(C)CNC(=O)c1c[nH]c2cc(C)nn2c1=O
241,EOS2643,-6.683,CN(CCCc1nccn1C)C(=O)CC1C=CS(=O)(=O)C1
242,EOS2647,-5.793,COc1coc(CN(C)CC(C)(C)CO)cc1=O
243,EOS2648,-6.579,COC1CCN(C(=O)C2CCN(C(C)C)CC2)C1
244,EOS2650,-7.874,CN(C)C(=O)N1CCC(C(=O)NC(c2cnn(C)c2)C2CC(O)C2)CC1
245,EOS2794,-8.357,CCn1ncnc1CN1CCCC(CNC(=O)CCc2c[nH]c3ccccc23)C1
246,EOS2795,-8.648,O=C(NCc1cccc(-c2nn[nH]n2)c1)C1CCCN(C2CCOCC2)C1
247,EOS2658,-7.461,COCc1cc(CN(C)C(=O)C2CC23CCNCC3)[nH]n1
248,EOS2798,-7.0,COC(CNC(=O)N(C)C1CCS(=O)(=O)CC1)c1cccs1
249,EOS2802,-8.426,NC(=O)c1cc(-c2cccc(C(=O)NCC3CCNCC3)c2)cs1
250,EOS2804,-5.782,CCN(CCCCO)C(=O)C1CC1(C)C
251,EOS3028,-8.903,Cn1c(=O)[nH]cc(CC(=O)N2CCN(c3cccc(Cl)c3)C(=O)C2)c1=O
252,EOS3029,-7.048,Cc1cc(C)n2ncc(CN(C)CCC(O)c3ccccc3)c2n1
253,EOS2807,-6.496,CN(C)CC1(CO)CCCN(C[C@@H]2[C@H]3CNC[C@H]32)C1
254,EOS2810,-7.729,O=C(CC1CCS(=O)(=O)CC1)NCC1COc2ccccc2C1
255,EOS2812,-7.807,CCC(C)C(=O)Nc1ccccc1C(=O)NCC(C)(C)N1CCOCC1
256,EOS3033,-7.901,Cn1ncnc1C(NC(=O)CCc1ccc2c(c1)OCO2)C1CC1
