Molecule,Score
COc1ccc(-n2cc(C(O)N3CCCC(C)C3)cc2O)cc1,-7.693
CC(C(=O)NCCc1ccc(F)cc1)N1CCN(CCO)CC1,-7.652
COCC(C)n1cc(C(O)Nc2cccc(OC)c2)cc1O,-6.927
COCC(C)n1cc(C(O)Nc2ccc(C(C)C)cc2)cc1O,-7.328
CC1CCN(C(O)c2cc(O)n(-c3ccc(Cl)cc3)c2)CC1,-7.921
COC[C@H](C)N1CCN(Cc2cn(C)nc2-c2ccccc2)CC1,-7.59
CCCCn1cc(C(O)Nc2ccc(C(C)=O)cc2)cc1O,-7.065
COCCNC(O)c1cc(O)n(-c2cc(C)ccc2OC)c1,-7.257
CC(C)CCNC(=O)CCc1ccc2c(c1)OCO2,-6.569
COCCCNC(=O)CCc1ccc2c(c1)OCO2,-6.221
COCCNC(=O)CCc1ccc2c(c1)OCO2,-6.334
CCC(C)NC(=O)CCc1ccc2c(c1)OCO2,-6.463
CNC(=O)CCc1ccc2c(c1)OCO2,-6.745
