,Molecule,Score,admetlab_smiles
2273,Cc1cc(N2CCN(CCO)CC2)n2nc(-c3ccc(C(C)(C)C)cc3)nc2n1,-9.143,Cc1cc(N2CCN(CCO)CC2)n2nc(-c3ccc(C(C)(C)C)cc3)nc2n1
2274,c1ccc(COCCC2CCOC3(CCNCC3)C2)cc1,-7.07,c1ccc(COCCC2CCOC3(CCNCC3)C2)cc1
2275,COCCC1(c2noc(C3CC3)n2)CCCNC1,-7.065,COCCC1(c2noc(C3CC3)n2)CCCNC1
2276,CC(C)CN1CCN(C(=O)C2(CCO)CC23CCOCC3)CC1,-7.52,CC(C)CN1CCN(C(=O)C2(CCO)CC23CCOCC3)CC1
2277,O=C(NC1CCCCC1)C1(CCO)CC12CCN(c1ncccn1)CC2,-7.782,O=C(NC1CCCCC1)C1(CCO)CC12CCN(c1ncccn1)CC2
2278,Cc1cnc(C2CC2)n1CCNC(=O)C1CCOC1,-6.918,Cc1cnc(C2CC2)n1CCNC(=O)C1CCOC1
2279,COCCCNC(=O)N1CCC(Cc2ccc(CCNS(C)(=O)=O)cc2)CC1,-7.297,COCCCNC(=O)N1CCC(Cc2ccc(CCNS(C)(=O)=O)cc2)CC1
2280,CCC1(C(N)=O)CCCN(C(=O)c2c(C)nn(C)c2C)C1,-7.564,CCC1(C(N)=O)CCCN(C(=O)c2c(C)nn(C)c2C)C1
2281,CCN(Cc1ccccc1)C(=O)C1CCCN(Cc2ccccc2)[C@@H]1COC,-7.155,CCN(Cc1ccccc1)C(=O)C1CCCN(Cc2ccccc2)[C@@H]1COC
2282,CNC(=O)C1CN(Cc2ccccc2)CC12CN(C(=O)c1cncc(Br)c1)C2,-8.96,CNC(=O)C1CN(Cc2ccccc2)CC12CN(C(=O)c1cncc(Br)c1)C2
2283,CCCC1(C(N)=O)CCN(C(=O)c2nccn2C)CC1,-6.968,CCCC1(C(N)=O)CCN(C(=O)c2nccn2C)CC1
2284,O=C(N[C@@H]1CN(Cc2ccccn2)C[C@H]1CO)C1(c2ccccc2)CC1,-8.438,O=C(N[C@@H]1CN(Cc2ccccn2)C[C@H]1CO)C1(c2ccccc2)CC1
2285,Cc1cccnc1C(=O)N1C[C@@H](N(C)C)[C@H](CO)C1,-6.827,Cc1cccnc1C(=O)N1C[C@@H](N(C)C)[C@H](CO)C1
2286,O=C(N[C@@H]1CNC[C@H]1CO)c1ccncc1,-6.166,O=C(N[C@@H]1CNC[C@H]1CO)c1ccncc1
2287,O=C(c1cccnn1)N1CCC(F)(F)C(COCc2ccccc2)C1,-7.833,O=C(c1cccnn1)N1CCC(F)(F)C(COCc2ccccc2)C1
2288,CN(CC1(O)CCOC2(CCNCC2)C1)C(=O)CCc1ccccc1,-8.071,CN(CC1(O)CCOC2(CCNCC2)C1)C(=O)CCc1ccccc1
2289,CNC(=O)C1CN(C(=O)c2cc(C)[nH]n2)C[C@H]1COC,-6.816,CNC(=O)C1CN(C(=O)c2cc(C)[nH]n2)C[C@H]1COC
2290,CN(C)C(=O)C1CN(Cc2cccc(Cl)c2)C[C@H]1CO,-7.159,CN(C)C(=O)C1CN(Cc2cccc(Cl)c2)C[C@H]1CO
2291,Cc1cnc(CCC2CCCN2)n1CC1CC1,-6.13,Cc1cnc(CCC2CCCN2)n1CC1CC1
2292,O=C(NCC1CN(C(=O)Nc2ccccc2)CC12CCCCC2)C1CC1,-8.122,O=C(NCC1CN(C(=O)Nc2ccccc2)CC12CCCCC2)C1CC1
2293,CC(C)N1CC(CN)C2(CCCCC2)C1,-6.324,CC(C)N1CC(CN)C2(CCCCC2)C1
2294,CCN(CCNC(=O)C1CCCCc2n[nH]c(=O)n21)Cc1ccccc1,-11.519,CCN(CCNC(=O)C1CCCCc2n[nH]c(=O)n21)Cc1ccccc1
2295,Cn1cccc1C(=O)N1CCCC2(CCOCC2)C1C(N)=O,-7.939,Cn1cccc1C(=O)N1CCCC2(CCOCC2)C1C(N)=O
2296,Cc1cc(CNC(=O)C2CCc3nn(CCOc4ccccc4)c(=O)n3CC2)n(C)n1,-11.547,Cc1cc(CNC(=O)C2CCc3nn(CCOc4ccccc4)c(=O)n3CC2)n(C)n1
2297,CCN(CC)C(=O)N1CCn2nc(C(=O)NC(C)C)cc2C1,-7.484,CCN(CC)C(=O)N1CCn2nc(C(=O)NC(C)C)cc2C1
2298,Cc1cccc(OCC(=O)N2CCC(Cn3cc(C(O)N4CCOCC4)cc3O)CC2)c1,-8.459,Cc1cccc(OCC(=O)N2CCC(Cn3cc(C(O)N4CCOCC4)cc3O)CC2)c1
2299,CC(=O)N(CCN1CCCCC1)C1CCCN(C(=O)NCC(C)C)C1,-7.223,CC(=O)N(CCN1CCCCC1)C1CCCN(C(=O)NCC(C)C)C1
2300,Cc1ccc(C(=O)NCCN2CCC(N3CCCC3)C2=O)c(=O)[nH]1,-8.467,Cc1ccc(C(=O)NCCN2CCC(N3CCCC3)C2=O)c(=O)[nH]1
2301,COCCC1(NC(=O)Nc2cccc(C)c2)CCN(C(=O)c2cccc(OC)c2OC)C1,-8.81,COCCC1(NC(=O)Nc2cccc(C)c2)CCN(C(=O)c2cccc(OC)c2OC)C1
2302,CC(=O)NC1CCN(CCNC(=O)C2(c3ccccc3)CC2)C1=O,-8.013,CC(=O)NC1CCN(CCNC(=O)C2(c3ccccc3)CC2)C1=O
2303,CCN1C(=O)C2(CCN(Cc3ccc(Cl)cc3)CC2)CC1C(=O)NCCOC,-7.984,CCN1C(=O)C2(CCN(Cc3ccc(Cl)cc3)CC2)CC1C(=O)NCCOC
2304,CCCC1(O)CCC12CCN(C(=O)COCc1ccccc1)CC2,-7.018,CCCC1(O)CCC12CCN(C(=O)COCc1ccccc1)CC2
2305,CCC(CC)NC(=O)CCc1ccnc(N(CC)CC)c1,-6.344,CCC(CC)NC(=O)CCc1ccnc(N(CC)CC)c1
2306,CC1(C(=O)N2CCC3(CC2)CCC3(C)O)CC1,-6.949,CC1(C(=O)N2CCC3(CC2)CCC3(C)O)CC1
2307,CNC(=O)C1c2ccccc2Oc2ccccc21,-7.788,CNC(=O)C1c2ccccc2Oc2ccccc21
2308,Cn1c(CCNC(=O)C2CCCN(c3nnc4ccccn34)C2)nc2ccccc21,-9.852,Cn1c(CCNC(=O)C2CCCN(c3nnc4ccccn34)C2)nc2ccccc21
2309,COc1cc2[nH]c(CSCC(=O)N3CCC(C(N)=O)CC3)nc(=O)c2cc1OC,-8.983,COc1cc2[nH]c(CSCC(=O)N3CCC(C(N)=O)CC3)nc(=O)c2cc1OC
2310,CCCn1c(-c2ccccc2)nc(C)c(CCO)c1=O,-6.611,CCCn1c(-c2ccccc2)nc(C)c(CCO)c1=O
